SKU,Demanda,Qty,Máquina,TR min/u,Er,%U,%Srap,(1-Scrap),Vi,Takt Time Meta min/U,Horas Disponibles por Turno,Turnos disponibles al día
TC3VS0644T00BLA1P,3808,152.32,M1,920.7,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T01AMA1P,470,18.8,M2,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T01BLA1P,8363,334.52,M3,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T01CEL1P,2467,98.68,M1,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T01ROJ1P,697,27.88,M2,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T01ROS1P,3648,145.92,M3,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T13ROS1P,45,1.8,M1,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00AMA1P,1327,53.08,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00BLA1P,9100,364,M3,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00CEL1P,1506,60.24,M1,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00ROJ1P,1774,70.96,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00SUR1P,6342,253.68,M3,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00ROS1P,1332,53.28,M1,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00VTI1P,542,21.68,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00AMB2P,183,7.32,M3,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00BLA2P,189,7.56,M1,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00CEB2P,184,7.36,M2,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00ROB2P,271,10.84,M3,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00RSB2P,152,6.08,M1,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00VEB2P,79,3.16,M2,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0644T01BLA1P,3881,155.24,M3,760.42,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T13AMA1P,30,1.2,M1,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T13BLA1P,191,7.64,M2,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T13CEL1P,21,0.84,M3,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T13ROJ1P,546,21.84,M1,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0644T35BLA1P,960,38.4,M2,530.22,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T01SNA3P,274,10.96,M3,441.2925,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0712T01AMA1P,95,3.8,M1,493.4925,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0712T01BLA1P,229,9.16,M2,493.4925,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0712T01CEL1P,83,3.32,M3,493.4925,0.9,0.85,0.1,0.9,0.9,544.33,8,1
