SKU,Demanda,Qty,Máquina,TR min/u,Er,%U,%Srap,(1-Scrap),Vi,Takt Time Meta min/U,Horas Disponibles por Turno,Turnos disponibles al día,TR min/u total,Tci min/kilo,Tc/TktT,No MQ,Takt Time Prod. Min/Un,Minutos disponibles por mes-turno,Minutos totales de carga,HORAS EXTRA
TC3VS0644T00BLA1P,3808,152.32,M1,920.7,0.9,0.85,0.1,0.9,0.9,544.33,8,1,140241.024,120408.96,221.20581265041426,222.0,542.3827027027028,9600,82615.73327567568,1216.928887927928
TC3VS0600T01AMA1P,470,18.8,M2,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,14195.127999999999,12187.73616161616,22.390344389646277,23.0,529.9015722441809,9600,9962.149558190602,6.0358259698433665
TC3VS0600T01BLA1P,8363,334.52,M3,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,252582.67119999998,216863.90961616163,398.40521304385504,399.0,543.5185704665705,9600,181817.83219247716,2870.297203207953
TC3VS0600T01CEL1P,2467,98.68,M1,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,74509.3208,63972.64917171717,117.52548853033484,118.0,542.1410946755692,9600,53498.48322258517,731.6413870430862
TC3VS0600T01ROJ1P,697,27.88,M2,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,21051.072799999998,18074.153414141416,33.20440433953927,34.0,531.5927474747475,9600,14820.80579959596,87.01342999326602
TC3VS0600T01ROS1P,3648,145.92,M3,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,110178.35519999998,94597.57769696966,173.7871836881481,174.0,543.6642396377566,9600,79331.48584794144,1162.191430799024
TC3VS0600T13ROS1P,45,1.8,M1,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,1359.108,1166.9109090909092,2.143756377732091,3.0,388.97030303030306,9600,700.1465454545455,0.0
TC3VS0418T00AMA1P,1327,53.08,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,39937.2593,34289.56606565656,62.99407724295291,63.0,544.2788264389931,9600,28890.32010738175,321.50533512302917
TC3VS0418T00BLA1P,9100,364.0,M3,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,273872.69,235143.21868686867,431.98651312047593,432.0,544.3130062196034,9600,198129.93426393563,3142.1655710655937
TC3VS0418T00CEL1P,1506,60.24,M1,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,45324.4254,38914.9106969697,71.49139436916889,72.0,540.4848707912458,9600,32558.808616464652,382.6468102744109
TC3VS0418T00ROJ1P,1774,70.96,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,53390.126599999996,45840.00768686868,84.21363453579387,85.0,539.2942080808081,9600,38268.31700541414,477.80528342356894
TC3VS0418T00SUR1P,6342,253.68,M3,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,190868.19780000002,163876.73548484853,301.0613699131933,302.0,542.6381969696971,9600,137656.45780727276,2134.2742967878794
TC3VS0418T00ROS1P,1332,53.28,M1,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,40087.7388,34418.76563636364,63.2314324699422,64.0,537.7932130681819,9600,28653.622392272733,317.56037320454556
TC3VS0418T00VTI1P,542,21.68,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,16311.9778,14005.233464646464,25.729306605637138,26.0,538.6628255633256,9600,11678.210058212899,34.63683430354831
TC3VS0418T00AMB2P,183,7.32,M3,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1,5814.9165,4992.605075757576,9.172018951293472,10.0,499.2605075757576,9600,3654.5869154545458,0.0
